"","sample01","sample02","sample03","sample04","sample05","sample06","sample07","sample08","sample09","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71"
"MEF2D",102.95,147.92,122.35,112.25,99.23,96.93,97.07,106.54,89.59,107.05,127.91,135.6,108.9,110.02,123.8,109.3,123.22,109.9,89.12,106.91,88.87,86.44,123.05,90.11,90.27,76.49,75.33,130.48,129.67,91.78,163.64,163.95,104.5,80.05,79.42,101.6,126.11,173.6,131.15,96.11,96.21,86.43,92.54,134.48,126.08,72.28,101.54,85.04,101.51,155.53,82.64,86.96,63.86,75.67,128.22,73.3,39.38,54.57,39.08,73.16,34.51,78.49,61.05,105.99,111.58,102.31,50.06,58.85,92.49,81.54,74.63
"MIF",208.51,283.6,186.33,228.95,201.91,168.66,228.72,213.07,192.26,208.14,180.51,218.13,217.79,169.38,211.34,191.59,344.69,221.57,240.13,302.22,542.09,706.12,540.3,493.66,861.5,659.52,432.8,240.55,193.22,145.31,261.45,239.5,137.01,171.13,306.52,238.37,211.42,269.78,310.93,235.99,309.35,207.94,512.23,405.12,414.86,404.09,206.1,243.63,262.53,283.14,315.19,180.29,136.85,155.13,169.76,217.19,191,201.15,181.95,134.61,127.18,103.51,126.18,158.28,180.6,162.13,145.17,202.07,184.99,133.35,175.84
"MKNK1",84.71,76.74,97.66,116.7,92.3,133.77,156.91,202.57,201.59,153.13,115.96,153.28,123.22,240.31,183.83,108.01,159.09,173.71,220.32,207.64,161.93,64.57,92.85,80.32,159.94,50.51,149.29,103.51,66.12,78.01,70.39,73.13,95.21,209.77,203.42,148.49,140.95,168.91,169.47,90.4,216.1,79.58,61.69,84.05,76.07,163.73,75.77,56.31,60.67,41.87,71.11,82.72,65.26,102.16,43.34,78.73,169.34,47.08,112.34,108.27,117.32,123.99,73.27,107.41,57.4,86.57,113.47,70.62,66.55,43.17,61.34
"MME",162.9,423.74,122.35,366.76,263.06,267.54,361.7,439.65,207.19,217.06,332.33,531.77,143.28,379.29,412.67,75.86,219.92,166.62,212.9,123.35,154.04,152.05,369.15,220.38,133.44,21.65,99.98,102.78,112.5,171.32,71.31,183.24,449.34,99.37,149.08,66.43,20,157.18,32.42,230.28,139.13,185.69,107.97,146.25,127.49,111.47,215.2,291.9,367.54,139.58,230.62,288.46,259.66,229.54,211.29,215.38,106.33,90.94,107.46,32.19,85.77,266.18,88.19,173.83,104.49,122.78,160.19,90.24,81.21,127.59,134.95
"MMP3",20,22.24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,46.09,20,20,20.74,20,31.32,20,42.19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,35.3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"MMP9",229.36,987.61,184.09,615.71,342.67,312.13,509.31,516.18,382.64,286.94,465.02,601.34,167.64,615.26,600.25,1155.97,1537.86,716.1,2240.38,1141.02,797.82,722.78,1634.33,1124.45,2400.03,186.89,1985.95,234.71,244.74,434.41,186.49,696.79,1152.95,1137.2,934.88,769.81,689.91,1639.81,1066.9,1073.35,2385.99,721.36,931.1,827.04,741.68,1949.92,434.94,551.62,1173.78,317.04,505.45,933.24,585.28,1630.76,614.01,780.07,852.6,274.97,586.15,201.91,367.74,550.56,161.46,285.48,214.78,215.65,415.5,292.31,180.47,212.97,290.34
"MPPED1",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"MR1",29.97,20,20,34.45,20,246.21,152.92,189.07,238.92,111.51,197.25,228.74,55.88,393.77,213.84,231.45,371.21,228.66,398.56,400.9,80.97,98.94,152.13,130.27,88.31,38.97,104.09,20,20,20,20,20,20,419.55,316.27,314.57,445.11,443.38,210.73,33.3,156.9,55.62,63.32,36.98,59.17,72.28,20,28.73,46.67,20,20,20,20.35,20,20,28.05,20,21.4,20,29.26,20,54.6,20,20,21.93,37.78,20,20,24.82,20,22.49
"MRC1",20,20,20,20,24.23,20,34.57,20,20,20,26.3,20,20,31.85,28.76,28.29,68.63,179.03,76.74,82.24,281.41,20.83,33.56,44.08,36.3,36.8,58.89,20,20,20,20,20.9,27.87,20,20,20,20,68.03,20,20,32.56,20,20,20,20,26.13,33.34,25.28,29.17,20,20,20,20,20,20,20,20,20,28.09,20,20,20,20,20,20,56.67,20,20,20,20,20
"MS4A1",238.48,263.59,221.13,123.36,274.6,250.09,360.37,286.6,97.06,246.8,257.02,238.18,216.36,131.74,230.1,182.59,196.52,402.36,158.44,246.71,341.64,255.16,795.35,773.8,130.5,31.75,128.74,133.39,135.68,114.72,220.32,207.35,190.42,165.61,59.91,101.6,103.86,255.71,204.83,68.51,78.45,38.51,71.44,124.39,88.75,36.58,150.03,66.65,95.68,199.4,107.62,328.76,117.2,181.62,276.31,223.52,189.03,81.31,206.37,153.63,101.55,187.69,187.23,135.67,135.45,110.18,210.25,121.63,150.02,139.1,155.39
"MS4A2",69.07,103.43,75.21,155.59,79.61,44.59,78.46,73.53,134.39,108.53,51.4,84.89,68.78,95.55,51.27,120.87,209,101.03,212.9,90.46,195.51,416.59,503.39,291.89,114.8,57.73,165.72,48.11,35.21,32.12,28.34,29.74,45.28,77.29,90.56,48.85,20,84.45,67.79,464.36,427.76,500.59,150.99,418.56,369.78,134.12,436.46,689.52,323.2,271.18,301.73,309.67,703.88,206.84,121,250.67,80.73,150.86,119.67,35.11,68.03,180.87,81.41,104.58,56.76,58.24,65.08,47.08,49.63,73.87,40.89
"MSR1",20,20,20,20,20,20,31.91,39.01,20,20,47.82,30.66,44.42,62.25,35.01,54.01,32.75,46.09,20,49.34,24.69,20,20,23.51,20,20,20,20,20,20,20,20,20,20,129.57,70.34,20,20,53.05,27.6,34.04,64.18,69.81,20,50.71,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"MUC1",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"MX1",97.74,70.07,47.14,91.13,69.23,4703.21,4663.53,4494.07,5185.29,6207.16,4821.18,7187.73,2538.97,8196.69,8245.96,4537.72,7006.15,4395.86,6193.85,8521.66,1658.84,870.67,1576.16,1473.15,2244.01,316.05,2246.18,48.11,62.69,48.95,27.43,73.94,45.28,10278.96,6456.39,7758.66,6186.96,9613.66,5881.23,971.54,3469.45,852.29,793.91,425.29,1203.03,2043.1,263.69,276.96,786.41,107.67,359.39,307.55,268.78,151.35,180.59,349.31,220.53,78.11,94.03,465.27,144.93,1429.87,69.2,149.81,782.38,691.01,405.49,39.24,111.67,556.41,162.55
"MX2",252.82,294.73,246.95,350.09,236.53,3923.86,3980.03,4408.54,5187.15,4889.91,4052.51,5863.61,2698.02,7084.89,5988.76,3147.73,3799.41,3213.59,4012.88,4531.18,1045.66,683.21,1134.3,971.65,1715.15,323.99,2187.28,164.01,204.38,168.26,161.81,196.9,195.06,5520.39,4646.54,4083.51,3571.97,5813.24,3894.79,897.31,2918.84,922.46,754.13,556.4,1184.01,1886.34,389.48,402.22,1011.6,229.31,413.2,466.62,355.1,272.42,326.87,438,346.55,232.18,185.61,507.7,220.84,1302.47,232.01,366.03,765.61,820.09,503.94,153.02,261.69,595.74,279.09
"MYC",88.62,157.93,88.68,151.15,154.61,94.99,140.96,94.53,156.79,121.91,120.74,150.92,84.54,127.39,165.07,114.44,101.38,116.99,99.02,164.47,117.5,98.94,241.63,203.73,135.41,132.77,131.48,67.06,53.24,48.95,132.56,68.31,62.7,20,82.2,91.83,77.89,147.79,101.68,76.12,100.65,98.41,94.98,179.87,113.4,97.54,69.71,118.37,96.84,129.61,98.02,125.14,82.11,71.89,187.82,80.54,110.27,78.11,87.92,102.42,63.1,61.43,74.62,122.95,98.68,97.59,73.42,90.24,113.92,102.65,84.85
"MYD88",200.69,252.46,163.88,190.05,144.22,321.82,348.4,351.12,313.58,288.43,384.93,452.77,246.45,327.17,330.14,432.04,545.89,308.42,396.09,419.4,171.81,250.99,218.13,173.37,319.87,160.91,356.1,193.17,153.72,134.61,168.21,167.97,160.23,438.87,561.49,488.46,604.6,581.79,667.55,243.6,404.08,302.07,364.48,282.4,359.92,280.43,190.95,236.74,310.36,253.24,213.33,235.43,208.43,166.48,167.95,229.86,135.86,135.88,117.23,106.81,101.55,183.14,132.96,175.24,184.47,162.13,170.2,164.79,163.55,145.82,125.75
"MYL2",35.19,20,33.67,34.45,35.77,38.77,33.24,46.52,50.4,29.73,23.91,20,41.55,39.09,27.51,27,20,20,20,20,20.74,20,20,20,20,20,20,20,35.21,39.77,20,20,27.87,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,47.26,34.24,35.41,49.75,57.18,38.68,37.99,62.18,23.22,42.5,43.39,56.89,49.63,30.7,35.78
"NCAM1",20,20,20,20,20,20,20,20,20,20,20,20,20,31.85,25.01,20,32.75,56.72,56.94,20,34.56,20,34.68,34.28,37.29,20,52.05,20,20,20,20,20,20,20,20,42.98,103.86,20,39.79,20,38.48,20,20,20,20,23.51,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"NCF4",192.87,298.06,166.13,375.65,203.07,292.74,236.7,442.65,291.18,279.51,240.28,260.58,187.7,350.34,352.65,308.6,627,799.41,722.86,803.85,487.78,221.83,411.66,331.07,648.58,129.16,343.77,362.28,589.1,645.5,287.97,556.15,953.25,1117.88,643.69,910.49,1060.83,1046.29,652.82,127.51,288.63,183.12,441.6,95.82,170.45,314.39,159.13,133.31,224.02,163.51,190.26,214.22,129.83,224.5,153.5,146.6,171.31,64.2,141.65,55.6,90.7,175.18,69.2,141.33,154.8,135.37,181.88,156.94,152.27,124.71,164.59
"NCR1",52.13,36.7,41.53,36.68,34.61,20,39.89,34.51,39.2,20,26.3,30.66,20,20,32.51,43.72,140.37,242.84,123.78,71.96,97.75,54.16,77.19,61.71,108.91,20,46.57,56.13,46.37,65.77,110.62,73.13,65.02,140.77,71.06,91.83,92.73,138.41,151.78,32.35,39.96,20,34.91,45.39,21.13,26.13,33.34,28.73,35,55.83,20,20,20,20,20,20,20,27.82,20,20,20,20,20,20,29.67,20,41.72,39.24,25.94,28.78,20
"NEFL",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,70.9,20,20,20,22.91,57.05,25.47,37.29,20,35.61,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"NFATC1",88.62,131.24,102.15,124.48,117.69,149.28,140.96,151.55,139.99,154.62,158.99,165.07,113.19,170.82,153.81,171.02,280.74,157.75,195.57,228.2,86.89,147.89,120.81,118.52,208.02,90.92,109.57,181.5,149.42,139.2,188.32,175.2,132.36,195.97,182.52,169.98,211.42,267.44,203.36,103.72,152.45,131.78,125.01,186.59,119.03,141.08,119.72,116.07,127.18,165.5,105.7,131.5,99.65,102.16,151.7,113.12,76.79,68.48,59.84,99.49,69.01,75.08,85.48,108.82,121.9,86.57,85.1,76.51,89.11,87.3,99.17
"NFATC2",76.89,131.24,102.15,57.79,85.38,89.18,122.34,96.03,56,96.64,123.13,152.1,100.3,78.17,102.54,150.44,163.77,76.22,56.94,65.79,33.57,108.31,43.63,47.99,92.23,123.39,64.37,175.67,136.54,91.78,182.84,178.42,71.99,63.48,101.71,85.97,89.02,145.45,172.41,117.04,109.53,81.29,103.09,176.5,157.07,79.25,119.72,86.19,127.18,193.42,121.08,97.57,63.16,61.8,135.44,128.5,49.23,65.27,36.63,87.79,100.56,40.95,71.91,120.13,155.44,89.72,48.39,51.01,90.24,109.36,99.17
"NFATC3",611.19,570.55,731.86,433.44,514.59,314.06,413.56,411.14,274.38,389.53,569.03,492.86,518.68,335.86,391.41,465.47,478.83,372.23,245.08,318.66,254.75,387.43,221.49,194.92,278.66,356.46,290.36,557.63,395.88,442.06,538.45,459.7,341.36,190.45,280.05,226.64,196.59,279.17,347.78,496.71,356.71,307.2,269.51,539.6,421.2,306.55,447.07,398.78,338.37,624.11,332.48,381.78,320.01,247.2,352.16,328.5,259.92,332.75,247.89,377.49,282.95,302.58,379.9,398.54,390.22,317.96,388.8,313.89,300.04,414.43,322.03
"NFATC4",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"NFE2L2",466.54,399.27,435.52,555.69,621.89,624.25,605.05,685.74,783.95,859.34,696.94,666.19,649.07,823.72,890.37,741.93,889.03,1072.38,1183.32,1089.62,664.52,454.08,938.54,837.46,399.35,295.85,330.08,408.2,287.68,458.89,349.22,289.32,291.43,863.94,732.86,1328.61,886.5,743.66,856.18,410.12,753.39,547.65,374.22,492.53,452.9,346.61,331.89,320.63,329.03,454.63,344.01,489.95,431.59,382.15,456.9,292.3,364.27,212.92,335.81,348.22,236.62,423.16,362.26,301.02,437.95,324.26,427.18,427.67,365.46,532.42,483.56
"NFIL3",105.56,167.94,149.29,162.26,68.07,96.93,119.68,190.57,111.99,77.31,141.06,178.04,120.36,140.42,60.03,276.45,329.1,728.51,544.62,201.48,480.87,237.46,702.51,432.93,429.77,82.98,505.39,217.95,189.78,117.78,120.67,111.71,240.34,518.92,337.17,246.18,389.47,262.75,272.62,160.81,461.8,141.19,156.67,159.69,112.7,486.83,172.76,136.76,192.52,145.56,113.39,123.02,117.9,161.44,102.94,90.5,78.76,58.85,80.6,62.91,55.21,137.64,66.48,111.65,105.78,78.7,93.45,64.74,80.09,120.87,71.56
"NFKB1",140.74,244.68,199.8,225.61,213.45,158.97,239.36,178.56,233.32,260.18,233.11,240.53,186.27,246.1,265.11,205.73,232.39,315.51,225.28,271.38,222.17,240.58,400.47,298.74,282.59,368,260.23,168.38,217.26,171.32,223.06,217.8,132.36,157.33,235.46,214.92,211.42,243.98,263.78,183.65,239.78,212.22,239.47,237.02,254.27,233.4,140.94,159.74,259.02,247.25,136.45,171.8,141.76,157.65,205.88,179.18,110.27,128.39,85.48,139,107.46,143.33,131.61,158.28,184.47,147.96,101.79,129.48,159.04,146.78,166.64
"NFKB2",44.31,74.52,72.96,70.02,95.76,87.24,77.13,73.53,76.53,107.05,71.73,80.18,68.78,89.76,97.54,99.01,132.57,120.53,133.68,131.58,136.26,89.57,78.3,96.97,113.82,193.38,112.31,83.1,116.79,76.48,83.19,98.05,94.05,99.37,86.38,144.58,196.59,103.22,147.36,87.54,102.13,120.66,122.58,80.69,89.45,83.61,81.84,59.76,124.85,81.75,88.41,74.24,64.56,81.98,65.01,66.97,20,27.82,35.41,32.19,37.46,63.7,42.06,70.66,79.33,37.78,55.07,56.89,69.93,59.48,59.29
"NFKBIA",358.38,420.4,257.05,470.12,362.29,443.95,535.9,306.11,451.71,489.14,494.91,648.5,292.3,668.82,716.55,1462,2007.33,1846.97,2448.33,2107.29,1403.1,844.63,1069.42,1130.33,1649.4,1389.75,1829.81,369.57,333.19,452.77,383.04,365.67,428.44,2235.76,877.76,2479.41,2952.53,1956.51,1447.1,360.64,1321.77,907.05,666.46,376.54,333.86,1459.61,322.8,321.78,529.72,386.83,349.78,271.49,275.09,261.07,283.53,273.3,198.87,174.4,155.08,143.39,141.97,325.33,188.59,237.43,392.8,272.31,253.64,276.61,192.88,370.3,233.09
