"","sample01","sample02","sample03","sample04","sample05","sample06","sample07","sample08","sample09","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71"
"ABCB1",43.01,48.94,25.82,34.45,49.61,20,29.26,20,20,20,31.08,29.48,32.96,20,26.26,36,54.59,65.58,20,20,27.65,20,23.49,30.36,24.53,20.93,41.09,20,20.61,20,27.43,22.5,20,20,20,20,20,20,20,20.93,20,20,25.98,35.3,20.43,20,20,26.43,20,20,20,20,20,27.75,37.92,24.43,20,25.68,20,20,30.56,20,39.35,49.46,21.28,34.63,35.04,20,22.56,20,24.54
"ABL1",20,24.47,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,51.99,20,20.74,20,35.8,20,25.51,20,30.13,20,20,20,21.03,20.9,20,20,30.65,20,20,20,36.84,20,20,20,22.73,50.43,20,20.03,20,20,20,39.88,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.49
"ADA",62.55,82.3,65.1,55.57,57.69,20,42.55,51.02,48.53,50.55,63.36,55.42,63.04,59.35,41.27,68.15,65.51,62.04,66.84,57.56,73.07,123.94,106.27,114.6,94.2,191.94,67.11,35.72,45.51,36.71,51.19,37.77,26.7,20,43.19,44.94,20,51.61,45.68,70.41,74.01,77.01,147.74,94.13,111.29,75.77,60.62,66.65,81.67,59.82,63.42,20,37.9,50.45,39.73,53.39,39.38,72.76,50.07,67.3,62.11,56.88,63.77,60.77,56.76,34.63,55.07,54.93,71.06,73.87,49.07
"AGER",20,52.27,39.29,37.79,43.84,20,35.9,39.01,20,41.63,32.28,40.09,31.52,36.19,36.27,27,40.55,20,64.36,45.23,46.41,30.2,43.63,22.53,45.14,20,50.68,57.59,48.95,45.89,53.02,49.83,62.7,20,27.87,20,81.6,51.61,32.42,31.4,51.81,41.93,43.02,38.66,27.47,33.96,20,22.98,31.5,39.88,20,20,23.86,25.22,20,27.15,20,20,20,20,22.68,20,20,20,21.93,20,38.38,20,25.94,20.15,28.63
"AHR",74.28,141.25,117.86,147.81,134.99,60.1,85.11,66.02,80.26,83.26,54.99,108.48,45.85,59.35,77.53,92.58,67.07,221.57,170.81,41.12,73.07,96.86,287.49,233.12,94.2,50.51,90.39,119.54,95.32,84.13,121.59,79.56,92.89,20,41.8,44.94,20,70.38,50.1,63.75,56.25,53.05,30.04,87.41,55.64,60.96,45.46,36.77,45.5,77.77,40.36,48.78,36.49,20,61.4,51.58,70.89,49.22,42.74,40.97,26.62,54.6,66.48,96.1,89.65,86.57,68.42,82.4,86.85,78.66,67.47
"AICDA",20,20,20,20,20,20,26.6,20,20,20,20,20,20,20,20,20,20,81.54,20,20,33.57,22.91,166.68,104.81,20.61,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"AIRE",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.37,25.47,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"AKT3",4256.19,2263.27,3793.99,4211.05,6319.28,4435.67,4182.15,4551.09,4287.47,7900.56,4840.3,3972.35,5530.72,4468.95,7129.24,3869.08,3939.79,3892.47,4114.38,6299.25,2718.33,1597.62,1382.64,2786.64,883.08,1154.52,1607.93,3393.15,4427.7,5190.01,2839.44,2294.5,4504.99,4907.62,2643.02,3094.87,2292.29,2916,2173.59,3031.65,2514.76,2580.82,1584.57,2390.36,1458,1322.01,3846.28,2539.75,2230.88,2909.21,1773.88,4267.46,2682.87,2979.01,3089.94,1895.87,5883.53,4109.61,4206.83,5761.78,5797.09,5836.65,3619.86,4003.76,3064.39,2864.79,4967.62,2758.29,4131.72,4964.48,4378.61
"ALOX12",29.97,23.36,25.82,75.57,53.07,52.34,46.54,46.52,98.93,71.36,39.45,38.91,20,81.07,75.03,20,42.11,39,59.41,55.51,33.57,34.37,38.03,40.16,30.42,20,28.76,32.8,47.23,61.18,29.25,42.6,118.43,66.24,20,56.66,20,20,30.95,43.77,20,65.03,45.46,20,20,20,77.29,52.86,20,20,67.27,139.99,37.19,50.45,20,74.21,20,20,20,20,20,35.26,20,20,20,33.06,53.4,20,29.33,20,46
"ALOX15",83.4,120.11,144.8,128.92,91.15,75.61,111.7,259.59,156.79,86.23,37.06,94.33,167.64,104.23,51.27,74.58,77.98,76.22,113.88,51.4,52.33,76.03,62.64,47.99,45.14,20,49.31,76.54,174.33,185.08,65.82,51.44,164.87,102.13,51.55,48.85,20,20,41.26,153.2,72.53,69.31,77.12,82.37,40.15,60.09,281.88,185.02,126.01,73.78,96.09,214.22,337.55,170.27,187.82,129.41,1474.82,247.15,471.36,544.28,528.44,214.99,115.33,207.75,79.98,72.41,165.2,121.63,157.91,51.8,104.28
"ALOX5",66.46,92.31,39.29,85.58,64.61,56.22,38.56,49.52,61.6,20,54.99,33.01,30.09,63.7,35.01,68.15,62.39,62.04,59.41,47.29,82.94,58.32,99.56,43.1,90.27,53.4,134.22,32.8,24.04,74.95,35.65,33.75,52.25,63.48,32.05,44.94,92.73,58.65,41.26,51.38,74.01,100.12,58.45,57.15,58.46,108.86,63.65,111.47,100.34,47.86,67.27,65.75,112.28,99.64,57.79,51.58,84.67,66.34,50.07,20,32.53,53.46,58.34,60.77,42.57,20,45.05,45.12,36.09,41.25,20
"ANP32B",432.66,457.1,417.56,411.21,430.36,228.76,429.52,319.61,278.12,316.68,421.99,377.31,339.58,321.38,375.16,435.9,550.57,545.94,438.17,513.97,1049.61,1012.31,762.91,888.4,982.19,1008.04,690.29,454.85,450.84,334.99,525.65,445.24,220.61,242.9,424.95,304.8,252.23,422.27,449.46,402.51,325.63,393.63,754.13,605.15,603.63,544.31,374.32,475.77,432.87,506.47,367.08,299.06,561.42,286.3,428,415.37,324.89,433.32,294.29,367.24,352.95,216.13,301.2,357.55,407.64,289.63,246.96,213.84,342.9,392.36,352.7
"APOE",48.22,33.37,20,22.23,31.15,56.22,38.56,20,44.8,43.12,29.89,20,35.82,31.85,30.01,38.58,20,20,54.46,65.79,54.31,20,45.86,27.43,38.27,24.53,50.68,20,20,20,20,20,33.67,57.96,20,42.98,85.31,77.42,44.21,36.16,59.21,41.07,20,89.09,24.65,70.54,68.2,55.16,46.67,113.66,94.17,42.42,20,34.05,37.92,22.62,43.32,21.4,20,20,20,20,42.06,42.4,20,44.07,53.4,51.01,32.71,27.82,42.94
"APP",308.85,377.03,296.34,295.63,281.52,273.35,311.17,304.61,380.78,331.54,358.63,403.25,277.97,387.97,337.64,501.48,449.19,565.44,599.09,413.23,423.6,336.4,576.1,417.26,494.53,305.95,449.24,368.84,234.44,206.5,315.39,272.45,198.54,339.5,518.29,492.37,422.85,333.12,446.51,404.41,560.97,439.83,334.45,384.94,431.77,548.66,315.22,302.24,331.37,360.91,269.06,316.03,216.15,290.08,265.47,296.82,228.41,230.04,136.77,166.8,177.46,241.16,198.09,281.24,310.89,184.17,233.61,153.02,218.82,270.53,191.17
"AREG",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27,20,193.21,69.32,20,107.63,95.82,440.74,333.03,52,20,31.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ARG1",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,37.29,20,232.2,99.02,20,106.64,66.65,381.46,252.71,50.04,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"ARG2",220.24,390.37,156.03,480.12,251.52,393.55,474.73,417.15,446.11,316.68,321.57,469.28,157.61,542.88,462.69,610.77,711.22,989.07,1118.95,682.56,827.45,395.76,634.27,452.52,579.89,112.57,653.31,211.39,299.7,409.94,171.87,335.94,637.43,1327.65,452.81,1266.08,1068.25,910.22,701.44,177.94,646.82,394.48,291.42,95.82,142.98,440.67,184.89,196.51,273.03,157.52,199.87,296.94,159.3,274.95,252.83,190.04,206.75,79.17,145.32,62.91,74.93,307.13,103.11,162.52,171.57,174.72,266.99,180.49,97,186.11,143.13
"ARHGDIB",3080.72,3857.02,2943.15,3067.43,3010.22,1719.6,2823.12,2480.37,2174.54,2771.29,3203.76,3023.18,1832.59,2669.5,2531.06,4076.1,3985.02,3020.38,3178.62,2958.43,2361.87,5760.38,4470.08,3700.51,5449.61,5745.17,3596.62,2734.2,2486.93,1681.06,3062.5,2631.25,1462.96,2045.3,3328.51,2201.97,1906.53,3164.67,3495.43,2602.5,3685.56,2442.2,3213.79,4891.66,4011.27,4570.42,2370.21,2798.32,2862.11,3639.01,2694.45,2123.13,2030.93,2067.15,2515.66,2532.96,1718.98,2696.23,1502,1758.67,2086.16,2055.51,2121.99,2498.64,3917.07,2069.89,1907.29,1863.71,2520.99,2725.43,2216.4
"ATF2",245,233.56,240.21,253.4,273.45,180.3,244.68,223.58,216.52,246.8,292.88,299.49,247.88,228.73,300.13,257.17,254.23,338.55,279.74,213.81,278.45,297.86,319.93,234.1,228.62,207.81,204.07,196.81,189.78,214.15,227.63,186.45,164.87,184.93,202.02,205.15,215.13,178.29,221.04,157.01,195.38,148.89,157.48,226.93,176.09,143.7,136.39,156.29,186.68,187.43,157.59,216.34,161.41,206.84,166.15,161.08,210.69,172.26,202.71,200.45,174.5,195.65,175.02,226.12,186.4,176.29,220.26,135.36,192.88,182.27,193.22
"ATG10",123.8,106.77,104.39,107.8,118.84,124.07,87.77,103.54,78.4,71.36,114.76,82.54,108.9,88.31,92.54,99.01,93.58,86.85,111.4,141.86,83.93,62.49,72.71,44.08,36.3,36.8,67.11,190.98,39.5,116.25,144.44,73.13,52.25,57.96,157.44,95.74,77.89,164.22,73.68,57.09,103.61,98.41,47.89,169.78,67.62,93.19,59.1,95.38,57.17,165.5,92.25,86.96,65.26,42.88,157.12,47.06,57.1,70.62,35.41,99.49,28.59,40.95,75.98,53.7,110.29,47.22,75.09,125.56,47.37,139.1,69.52
"ATG12",272.37,276.93,242.46,238.95,272.29,226.82,261.97,292.6,240.79,341.95,364.61,318.35,343.88,250.45,308.88,351.03,313.5,301.33,292.12,308.38,356.45,400.97,336.71,260.54,336.55,329.04,315.01,235.44,181.2,175.91,256.88,224.23,174.16,193.21,303.73,195.38,289.32,227.56,282.94,241.69,321.19,213.07,200.51,364.77,344.43,249.95,224.29,189.62,224.02,271.18,280.59,184.53,142.46,131.17,178.79,193.66,218.56,200.08,192.94,237.03,206.05,194.52,183.16,230.36,205.75,232.96,180.22,194.22,191.75,178.43,214.69
"ATG16L1",36.49,31.14,30.31,22.23,39.23,20,26.6,20,20,32.71,25.1,33.01,35.82,30.4,25.01,32.15,42.11,124.08,69.32,71.96,52.33,44.78,142.07,113.62,60.83,30.31,45.2,61.96,36.93,41.3,50.28,40.99,30.19,20,45.98,44.94,20,75.07,56,29.5,32.56,23.1,30.04,57.15,29.58,29.61,31.83,22.98,31.5,45.86,46.12,42.42,20,20,20,28.05,20,20,25.64,20,20,23.89,29.85,33.92,20,20,33.37,20,20,23.98,28.63
"ATG5",157.69,182.4,177.35,166.71,181.14,188.05,210.11,234.08,194.12,212.6,252.24,242.89,214.92,199.78,205.09,244.31,227.72,189.66,158.44,185.03,222.17,209.34,139.83,130.27,210.96,227.3,230.1,151.62,128.81,113.19,149.01,122.96,111.46,165.61,185.3,168.03,152.08,236.94,191.57,155.1,174.66,153.17,157.48,171.46,200.74,162.86,162.16,133.31,130.68,167.49,142.22,165.44,138.95,122.34,169.76,142.98,242.19,135.88,166.07,153.63,116.34,155.84,113.97,186.55,159.96,130.65,128.49,156.94,135.36,141.98,147.21
"ATG7",118.59,159.04,101.02,172.27,116.53,137.65,146.28,223.58,212.79,230.45,196.05,249.97,126.09,325.73,281.37,191.59,246.43,329.69,381.24,308.38,166.87,74.99,193.52,158.68,125.59,36.8,105.46,90.39,95.32,111.66,101.47,103.67,113.79,273.26,189.48,250.09,274.48,295.59,218.1,54.24,165.78,111.24,60.88,73.96,63.39,101.89,53.04,58.61,65.34,77.77,53.81,65.75,44.91,20,48.76,52.49,20,51.36,32.97,20,25.63,135.37,43.42,66.42,109,78.7,83.43,51.01,72.19,73.87,59.29
"ATM",328.4,372.58,257.05,315.63,385.36,195.81,261.97,204.07,162.39,273.56,265.39,293.59,173.37,201.23,273.86,201.88,233.95,287.15,215.37,205.59,134.29,246.83,487.73,371.23,130.5,138.54,117.79,247.83,205.24,208.03,252.31,197.71,162.55,74.53,118.43,101.6,20,140.76,142.94,138.93,102.13,106.96,111.21,240.38,154.25,68.8,145.49,201.11,180.85,225.32,161.44,212.1,155.79,124.86,231.16,175.56,135.86,160.49,146.54,165.33,156.76,151.29,185.88,257.21,170.92,198.33,196.9,162.83,223.34,177.47,235.13
"B2M",36023.88,45001.88,31822.38,45569.11,40318.99,57025.88,56929.15,54934.16,59851.05,69166.36,75215.38,80313.63,64607.73,81219.95,79722.16,95088.88,121189.78,96063.77,128097.74,109747.52,56975.27,55815.62,55635.5,48188.87,48590.23,27864.31,65974.56,43308.36,31579.54,31250.22,33377.54,36793.24,46466.42,134545.62,93878.22,114097.87,119818.58,117505.73,100832.69,49671.09,95892.53,63070.11,45562.08,54764.71,52917.73,52653.93,46146.3,42845.92,47315.2,48048.88,49407.29,50386.61,31549.53,37277.99,41415.31,45102.78,33613.71,27849.26,27550.13,22128.27,20525.44,38366.49,21084.21,26888.65,36134.73,27311.54,32365.48,28428.44,27999.34,33922.51,31617.41
"B3GAT1",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,31.32,25.47,22.57,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"BAD",20,20,23.57,20,20,20,20,20,20,20,23.91,20,20,20,20,20,20,20,20,20,39.5,46.87,39.15,28.41,83.4,26.7,20,24.78,28.34,20,26.51,37.77,20,20,20,39.08,20,20,20,20,31.08,20,25.98,40.34,23.24,20.03,20,22.98,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.2,20,20
"BATF",65.16,73.4,48.27,71.13,58.84,93.06,101.06,96.03,110.13,69.88,133.89,139.13,101.73,123.05,116.3,199.3,258.91,319.05,287.16,224.09,202.42,217.67,206.95,189.04,246.28,285.74,243.79,64.87,48.09,62.71,92.33,65.1,69.66,281.54,202.02,375.14,374.63,253.36,237.25,78.98,235.34,104.4,147.74,159.69,133.12,208.14,74.26,97.68,106.18,103.69,98.02,91.2,59.65,80.72,74.04,68.78,80.73,60.99,68.38,65.84,51.27,44.36,51.56,59.36,81.27,70.83,58.4,41.2,49.63,62.36,58.27
"BATF3",20,20,20,28.9,20,48.47,29.26,52.52,56,35.68,38.25,68.39,35.82,70.94,41.27,45,32.75,47.86,89.12,45.23,28.63,20,49.22,43.1,37.29,26.7,47.94,20,20,20,20,20,20,80.05,66.88,56.66,81.6,70.38,33.89,20,39.96,42.79,37.34,35.3,28.17,26.13,20,20,36.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.15,20
"BAX",355.77,563.87,369.3,535.69,379.6,343.14,454.78,436.65,580.5,389.53,413.62,568.32,361.07,518.27,552.73,471.9,552.13,436.04,623.84,454.35,588.49,726.95,608.54,442.73,903.69,886.81,816.29,441.73,376.13,330.4,432.41,424.34,442.37,427.83,646.48,490.41,715.88,509.07,562.92,545.24,711.95,687.14,741.14,689.2,760.7,829.96,497.08,558.52,694.23,598.19,570.79,432.69,411.94,416.2,437.03,473.29,454.85,434.39,327.27,292.62,349.01,307.13,313.41,313.74,457.95,310.09,297.02,298.19,325.98,379.89,284.21
"BCAP31",200.69,236.89,178.47,195.6,189.22,209.38,220.74,169.56,199.72,224.5,217.57,209.88,212.06,222.94,223.84,268.74,212.12,207.39,225.28,219.98,186.62,216.63,192.41,169.45,237.45,253.27,254.75,155.26,145.13,123.9,167.29,167.17,174.16,190.45,160.23,201.24,204.01,239.29,212.2,209.34,257.54,237.03,196.45,289.13,252.86,211.63,236.41,232.14,229.86,342.96,244.08,254.52,167.72,205.58,258.25,228.05,163.43,155.14,128.22,147.78,123.24,111.48,164.17,166.76,177.37,147.96,143.51,154.98,144.38,191.86,162.55
"BCL10",203.3,87.86,225.62,242.28,422.29,306.31,89.1,282.1,261.32,512.93,300.05,119.09,356.77,290.98,500.21,272.6,93.58,281.83,304.49,411.18,193.53,110.4,341.18,405.51,137.37,122.67,87.66,320.73,40.36,192.73,68.56,156.72,220.61,242.9,292.59,209.06,20,96.18,167.99,193.17,340.43,211.36,67.38,75.64,192.99,194.21,281.88,151.7,70.01,85.74,242.15,301.18,127.02,56.76,54.18,154.75,169.34,118.76,35.41,42.43,98.59,208.17,138.39,53.7,65.14,133.8,216.93,227.57,56.4,62.36,248.42
"BCL2",205.9,182.4,217.76,181.16,223.83,151.22,186.17,150.05,138.12,239.37,282.12,235.82,216.36,153.45,255.11,390.89,286.98,225.11,138.63,195.31,68.13,167.68,104.03,102.85,86.35,101.74,112.31,209.2,178.62,224.85,212.09,193.69,98.69,107.65,164.41,117.23,148.37,265.09,275.57,235.99,208.7,208.79,145.31,299.21,281.04,92.31,175.8,175.83,184.35,364.9,211.41,205.74,156.49,192.97,334.1,291.39,92.55,100.57,74.49,178.5,138.03,122.85,153.32,141.33,219.3,204.63,85.1,105.94,90.24,171.72,160.5
"BCL2L1",6781.76,3531.15,7510.53,5240.19,3373.66,4792.38,4374.97,7481.61,4912.77,2833.74,3031.62,2338.13,4967.62,3965.16,2472.29,1894.04,1057.47,2543.57,2695.88,1879.08,2248.32,916.5,978.81,1052.95,1274.58,614.78,1268.27,2724.72,5597.31,18477.86,2259.85,2126.54,8063.7,3185.26,897.26,2063.25,938.43,558.33,742.71,1121.88,652.74,1223.67,1224.15,257.19,307.1,868.28,1450.31,2049.04,1443.3,472.57,422.81,1533.49,3837.99,4178.43,1939.56,1475.07,16979.15,8670.73,10176.98,15345.23,12116.71,11780.22,14760.3,12145.54,3671.33,7544.48,13739.81,11107.71,8732.66,6959.87,5722.97
"BCL2L11",170.72,155.7,173.98,190.05,140.76,147.34,147.61,139.55,160.52,156.11,200.83,192.19,103.16,162.14,168.82,144.01,149.73,141.8,158.44,150.08,115.53,189.55,171.15,147.9,289.46,334.09,276.66,110.07,161.44,104.01,158.15,140.64,105.66,115.93,158.83,132.86,159.5,140.76,188.62,125.61,127.29,194.25,187.52,181.55,264.13,166.34,104.57,128.71,166.85,119.64,138.37,99.69,110.18,90.81,121,95.92,94.51,159.42,107.46,74.62,133.1,101.24,173.67,166.76,168.34,121.2,90.11,111.82,122.95,143.9,121.66
"BCL3",113.38,191.29,87.55,216.72,125.76,234.58,223.4,297.1,251.98,199.22,174.53,244.07,108.9,233.07,193.83,253.31,851.59,997.93,975.37,746.29,566.77,631.13,542.54,461.34,950.79,333.37,315.01,342.59,391.59,494.07,316.31,504.71,685.04,1313.85,614.43,1248.5,1164.69,778.85,857.65,127.51,361.15,199.38,480.57,121.03,156.37,361.42,109.11,111.47,149.35,121.63,113.39,139.99,80.7,80.72,99.33,114.93,96.48,60.99,58.61,71.69,65.07,133.09,84.12,128.61,140.61,127.5,126.82,127.52,93.62,150.61,111.43
"BCL6",199.39,378.14,131.33,447.89,182.3,385.79,392.28,459.16,479.7,273.56,357.43,431.55,140.42,576.17,443.94,450.04,1505.1,1487.15,2208.2,1696.11,390.03,395.76,530.23,382.98,542.61,73.6,301.32,466.51,543.59,660.8,286.14,551.32,1031.04,2611.14,1054.7,2262.54,2232.94,1888.48,1489.83,141.78,510.65,232.75,521.97,58.83,114.1,239.49,166.7,132.16,327.86,129.61,113.39,254.52,200,396.02,209.49,183.71,189.03,70.62,162.41,93.64,74.93,218.41,119.4,185.14,183.82,151.11,161.86,192.26,150.02,158.29,138.01
"BID",265.85,316.97,224.5,282.29,259.6,296.62,347.07,310.61,391.98,371.69,390.91,426.83,333.85,411.14,437.68,497.62,372.77,579.62,457.98,402.95,552.95,383.26,356.85,330.09,515.13,403.36,606.74,222.32,167.46,165.2,192.89,246.73,249.63,397.47,388.72,451.33,697.33,415.23,440.61,312.11,519.53,530.54,418.06,341.24,555.03,538.21,287.94,274.66,333.7,340.97,393.98,301.18,196.5,203.06,205.88,254.29,212.66,193.66,188.06,141.92,167.6,183.14,187.23,233.19,224.46,196.76,176.88,196.18,168.07,193.78,175.84
"BIRC2",286.7,290.28,279.5,302.3,309.21,253.97,295.21,340.62,339.71,294.38,408.84,456.31,263.64,344.54,357.65,432.04,481.95,615.07,581.76,423.51,398.91,353.06,498.91,385.92,249.23,187.61,297.21,223.05,186.35,272.27,210.26,204.13,202.03,353.3,292.59,347.78,259.64,377.7,279.99,197.92,316.75,192.53,156.67,191.63,210.6,191.6,153.06,175.83,166.85,207.37,136.45,163.32,207.72,171.53,198.65,160.18,226.44,234.32,202.71,288.24,207.04,280.97,270,255.8,224.46,210.92,282,153.02,205.29,241.75,226.96
"BLK",29.97,44.49,34.8,23.34,41.54,20,33.24,33.01,20,20,20,28.3,20,28.95,20,20,38.99,20,20,20,20,20,20,20,21.59,20,35.61,41.55,31.77,20,38.4,39.38,32.51,20,20,20,20,20,30.95,20,20,20,20,36.98,20,20,20,20,20,20,20,48.78,20,31.53,43.34,39.82,20,20,20,20,20,20,20,31.09,20,20,20,20,22.56,20,24.54
"BLNK",48.22,58.95,51.63,50.01,60,81.42,58.51,42.01,95.19,84.74,35.86,79,35.82,98.44,78.78,54.01,92.02,54.95,96.55,111.02,39.5,25,35.8,41.14,33.36,20,75.33,32.07,20,41.3,41.14,49.83,35.99,71.77,89.17,20,96.44,77.42,69.26,29.5,60.69,22.25,30.04,43.71,30.99,29.61,48.5,28.73,36.17,71.78,49.97,69.99,20,52.97,86.68,67.87,20,35.31,31.75,20,24.65,26.16,37.99,49.46,44.5,55.09,43.39,20,55.27,40.29,35.78
"BST2",185.05,225.77,145.92,166.71,159.22,719.25,888.29,871.8,817.55,704.72,790.18,1129.57,606.09,1039.43,819.09,722.64,1594.01,1079.47,1576.93,1474.07,638.85,574.89,686.84,621.98,881.12,331.2,572.5,217.22,215.55,131.55,253.23,244.32,138.17,1658.88,1960.32,1668.57,1706.24,2062.08,1790.45,332.09,740.07,374.8,643.73,410.16,643.07,532.98,201.56,194.22,309.2,203.39,272.9,163.32,147.37,126.12,128.22,190.04,155.56,153,125.78,140.46,105.49,268.46,157.39,145.57,270.9,199.91,125.15,103.98,134.23,199.54,135.97
"BTK",61.25,71.18,87.55,97.8,78.46,85.3,107.71,103.54,106.39,89.2,87.27,87.25,60.18,98.44,113.8,93.87,160.65,118.76,185.67,191.2,89.85,112.48,108.51,103.83,66.72,30.31,73.96,69.25,53.24,55.07,70.39,58.67,55.73,110.41,135.15,101.6,118.69,145.45,120.84,81.83,145.05,108.68,83.61,75.64,97.9,60.96,86.38,104.58,84.01,49.85,109.55,103.93,97.55,63.06,93.91,85.97,74.82,42.8,50.07,20,28.59,65.98,40.7,74.9,45.79,58.24,68.42,45.12,47.37,47.97,40.89
"BTLA",36.49,31.14,26.94,20,32.31,48.47,43.88,20,20,40.14,27.49,27.12,20,20,45.02,20,43.67,141.8,94.07,20,53.32,56.24,239.39,190.02,42.19,20,20,20,20,20,32,20,20,20,20,20,20,20,20,26.64,20,20,20,33.62,20,20,20,20,20,41.87,20,20,20,29.01,41.54,20,20,20,20,20,20,20,20,29.68,20,39.35,20,20,31.58,21.11,21.47
"C10orf54",516.06,826.34,457.97,806.87,575.74,835.57,1007.97,1113.39,1043.4,820.68,904.94,1003.4,735.04,1286.98,1051.69,1195.83,1536.3,1324.08,2193.34,1772.18,937.05,762.36,918.4,756.17,1387.42,344.19,1573.69,525.55,614,954.49,485.43,663.84,1092.58,1915.57,1584.14,2186.34,2129.09,1937.75,1690.25,574.74,1200.4,1071.35,1031.76,405.12,855.08,1176.57,468.28,578.05,624.23,506.47,505.45,587.52,686.33,676.02,529.14,456.1,734.46,590.6,544.63,648.16,521.54,639.29,591.55,525.73,515.35,533.61,554,718.02,430.88,458.55,409.95
"C14orf166",521.27,454.88,519.71,480.12,488.05,474.97,486.7,535.69,485.3,469.81,658.68,523.52,558.8,506.68,518.97,559.34,477.27,636.34,465.4,413.23,711.92,772.77,912.81,848.24,596.57,815.38,613.59,414.76,322.89,428.29,452.52,366.48,327.42,380.91,423.55,412.26,352.37,441.04,456.82,500.52,461.8,482.62,363.67,630.37,622.64,477.25,453.13,413.71,420.04,564.3,516.98,496.32,434.4,295.13,498.44,387.32,519.83,556.36,394.43,572.08,395.35,490.27,438.24,401.37,455.37,415.55,488.92,388.44,365.46,494.05,477.43
"C1QA",20,20,20,31.12,20,20,38.56,138.05,100.79,29.73,56.19,38.91,126.09,175.17,65.03,68.15,92.02,102.81,316.87,90.46,124.41,65.61,200.24,70.52,201.15,43.29,32.87,20,83.3,20,20,24.11,20,110.41,254.97,85.97,912.47,147.79,222.52,236.94,20,168.57,1959.61,70.6,400.07,20,60.62,87.34,271.86,20,48.05,20,20.35,40.36,20,23.53,20,23.54,20,20,25.63,55.74,20,74.9,47.73,33.06,20,20,63.17,20,22.49
"C1QB",45.61,34.48,33.67,37.79,30,63.98,103.72,171.06,167.99,49.06,93.24,89.61,161.91,256.24,125.05,178.73,340.01,267.65,831.79,518.08,157,249.95,456.4,260.54,340.48,88.03,98.61,25.51,149.42,20,23.77,65.1,20,364.35,724.5,332.15,2203.27,375.35,1180.37,342.56,71.05,345.71,2989.74,144.56,846.63,40.06,116.69,132.16,304.53,20,144.14,20,41.4,95.85,20,78.73,49.23,47.08,39.08,20,32.53,122.85,50.2,132.85,129.64,59.81,46.72,20,95.88,46.05,50.09
"C1QBP",256.73,313.63,254.8,264.51,301.14,224.89,255.32,220.58,194.12,227.47,263,254.68,233.55,224.39,237.6,313.74,288.54,524.67,341.63,263.15,1046.65,688.41,906.1,906.03,702.54,964.02,567.02,219.41,188.92,160.61,246.83,173.59,140.49,124.21,202.02,168.03,207.72,161.87,207.78,281.66,287.15,295.22,499.24,388.31,550.8,423.25,253.08,297.64,310.36,291.12,317.11,216.34,179.65,136.21,261.86,203.61,252.04,328.47,299.18,187.28,198.17,159.25,161.46,238.84,228.33,152.68,163.53,170.68,172.58,182.27,199.35
"C1R",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"C1S",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
