"gene","Baseline.lfc","Baseline.padj","Middle.lfc","Middle.padj","Transitional/Late.lfc","Transitional/Late.padj"
"ABCB1",-0.612539021526584,0.0727468570115972,-0.568314765103767,0.466959086585395,0.280243306722295,0.134949915768001
"ABCF1",-0.219571640055483,0.395649695362675,0.115440056868543,0.875898030260599,0.53634454846542,0.0426735916931312
"ABL1",0.0418572577364813,0.809893961873225,-0.0636396089851603,0.939150727817051,0.464774379274112,0.0339536218817548
"ADA",-0.651967415359118,0.0461302695096149,-0.728205834593108,0.333491867204706,0.169920562128255,0.553100515061865
"AGER",0.524745057508443,0.180518971555125,0.109751644532208,0.908945003886069,0.172575375590267,0.451716954848168
"AHR",-0.173354709247666,0.608386780316412,-1.14854515087066,0.337366342129182,-0.4879186951898,0.149817803954437
"AICDA",NA,NA,NA,NA,-0.2013704860025,0.548128357468706
"AKT3",-0.146360649049292,0.795271416291392,-0.350042380558172,0.493067032466264,0.934639265338809,0.00743931349337297
"ALAS1",-0.477679419100563,0.157336680879295,0.140517582802794,0.813630414972154,-0.308832340830687,0.125780822452558
"ALOX12",0.427483432705444,0.55351758285081,0.00129422879996532,0.997543803956353,0.887491792612201,0.0169933823737187
"ALOX15",-0.268390194381384,0.690890038685227,-0.811411244032914,0.396373254783939,1.44593324430054,0.00198911487883008
"ALOX5",-0.288631857303729,0.634885533531508,0.191810683309633,0.798810161763973,0.245136576010536,0.416611073335404
"ANP32B",-0.130311085821804,0.691146196715535,-0.483115125907482,0.303874168093537,-0.242051462721127,0.361885760229974
"APOE",-0.231748382057057,0.580785078330028,0.959073473244562,0.316101440574304,0.766943932870529,0.0762337119518173
"APP",-0.0989313962492719,0.732629096407527,-0.235378254080079,0.548034715130848,0.0927947487180933,0.601317297862933
"AREG",NA,NA,-0.823490986276309,0.466959086585395,-1.25462911801186,0.0159261286562313
"ARG1",NA,NA,-1.02983569973298,0.434883467552796,-1.02191594824644,0.0349546851732794
"ARG2",0.230782566930129,0.722210590558836,0.585713938833571,0.324797067689694,-0.829587047623685,0.0264413741566942
"ARHGDIB",-0.399963031070884,0.207078592686565,-0.360816217570221,0.434883467552796,-0.0345621508837635,0.901446499048533
"ATF2",-0.211616139485887,0.364165734202687,-0.253285889649823,0.503861423606948,-0.0149874550849756,0.939678085342179
"ATG10",0.205862090419364,0.735104598521145,-0.221779369202459,0.725982280400052,0.842904109287206,0.0232435374564343
"ATG12",-0.155594282116162,0.537795701902816,-0.318512407997035,0.444223576274288,0.0759377965922567,0.710390932501226
"ATG16L1",0.483480259309647,0.149414296296301,-0.526231934721856,0.534428177290924,-0.196314517014616,0.51795611185176
"ATG5",-0.294118087029428,0.199979146826103,-0.0209052519856403,0.967478219547074,0.186393244377451,0.398793847371704
"ATG7",-0.196712971991156,0.502013980196384,0.0643987344381642,0.903050791380447,-0.366078043673052,0.164304574161703
"ATM",-0.46482302946762,0.119533248586561,-1.24906037463964,0.281672579356394,0.392339651346523,0.274431371234985
"B2M",0.0579912326960823,0.88318157318739,0.224122524871248,0.527474309245853,0.315677606488631,0.150386611236322
"B3GAT1",NA,NA,NA,NA,0.307052203095964,0.0252132093390341
"BAD",0.244013387068095,0.401872212041019,NA,NA,-0.124957290031839,0.57388662882411
"BATF",0.28662967779645,0.259486555068433,0.375694026253214,0.402684234001955,-0.62349167956226,0.00699134269556202
"BATF3",NA,NA,0.342442659567735,0.639131218514396,0.0588307241085735,0.809769293084206
"BAX",0.0250804961391662,0.924985225850953,0.113015755124492,0.833766656760133,0.257188022856795,0.254339765247026
"BCAP31",-0.211257276287846,0.378909445022705,0.063623996298201,0.897693726718731,0.600264469003625,0.0100232585376854
"BCL10",0.157582773753621,0.878895227812729,-1.09757305566156,0.385650206691128,-0.0160196841180813,0.976114578476332
"BCL2",-0.0695262108800474,0.847156441546794,-0.274884134286989,0.69867136485216,1.43580131422631,0.000102716777439751
"BCL2L1",-0.0920980539074954,0.924985225850953,-0.399047233191752,0.681582169774571,0.0951380256001872,0.861788708108774
"BCL2L11",-0.371448294136709,0.13824110271582,0.0489165359865211,0.913192844318605,0.154723514415554,0.605604657735181
"BCL3",1.50558540652493,0.0420143322093905,0.721325439427417,0.329964702913749,-1.21689276544499,0.000447527927376731
"BCL6",1.05454610552428,0.13824110271582,0.795866421396068,0.303874168093537,-0.598073774024162,0.16472028385275
"BID",-0.160316458748,0.589628287440809,0.170970431678438,0.712642158467496,0.12294168204507,0.594109134357465
"BIRC2",-0.239522000083614,0.383585641512827,-0.424394616249335,0.346384907869684,-0.351158952492137,0.0614014075566268
"BLK",0.0403399286206518,0.903764194311227,NA,NA,0.38265424905835,0.0430896747456239
"BLNK",-0.126612345591931,0.77844605699059,-0.335340181687818,0.687415534150824,0.45473476669832,0.147728079865175
"BST2",0.128483819179845,0.697941927572003,0.497742534743198,0.353090815413427,-0.443552358812036,0.0729025096120436
"BTK",-0.192792185022732,0.508164874973082,-0.186638159826191,0.681582169774571,0.511297659348128,0.0592980688367478
"BTLA",-0.238281099584365,0.434285038039962,-0.942989563858049,0.402032328281998,-0.456179378864736,0.29176309354665
"C10orf54",0.258776931413582,0.568342748432365,0.412980851248898,0.337366342129182,-0.136431463436166,0.641684768328974
"C14orf166",-0.154037258404703,0.569723593146917,-0.178192042011151,0.643225487345044,-0.0253265016791406,0.913478687429421
"C1QA",-0.342194848029134,0.55351758285081,0.679290564942931,0.568016722896572,1.60339257681389,0.0528186314660287
"C1QB",-0.680769544047003,0.324536531365129,0.743425394016706,0.501767388793414,1.08752867762117,0.167345585237778
"C1QBP",-0.43587391356199,0.120527429275074,-0.762434048624241,0.281672579356394,-0.557831056167133,0.0509711168849911
"C2",NA,NA,-0.0765851522618286,0.908945003886069,-0.552512987715015,0.252304217780233
"C3",NA,NA,NA,NA,-0.192024281171948,0.395992329837012
"C3AR1",-0.803496394643343,0.0446529864506435,-0.117296472476446,0.891122112322815,1.12747348299983,0.000178991099336269
"C4A",0.257936998781009,0.316617213485604,0.233062900082967,0.69867136485216,-0.540586516714928,0.163572209571148
"C4B",0.626369883828875,0.0374910446181098,0.445119448807141,0.444223576274288,-0.925647960015382,0.0782127872820389
"C4BPA",-0.588702788399615,0.795271416291392,-2.06195866646794,0.353090815413427,-1.3017263498279,0.119836233837572
"C5",-0.629820849741034,0.390809091671674,-1.43376535158471,0.266180644526704,-0.503535771199649,0.311628296910414
"C5aR1",0.561412961835591,0.354345252970166,0.408907866819542,0.433852607643182,-1.4429164729097,0.00198911487883008
"C6",NA,NA,NA,NA,0.151939163661296,0.381861516765757
"C7",NA,NA,NA,NA,-0.18274785778527,0.56212259130162
"C8B",NA,NA,NA,NA,-0.066215628201479,0.796539379951825
"C9",-0.16850092933812,0.661406866658249,-0.0327032436458161,0.974626316357233,0.168309615473202,0.63866066758989
"CAMP",1.07480906342079,0.176484715782166,0.578556752837384,0.404080353558812,-1.62024882389646,0.00187273855660242
"CARD9",0.0105629962770726,0.974557456482332,0.448438931013594,0.471569425035421,0.242983277937446,0.520064997828641
"CASP1",-0.408473031121289,0.131287614779277,0.141262331612298,0.725982280400052,-0.742543170614223,0.0256746172639497
"CASP10",-0.0316404800338752,0.938917314570098,-0.0263139391151448,0.953632070663508,0.473325373674044,0.0226044560631425
"CASP2",-0.562595527727156,0.0757148928921429,-0.17766112517216,0.721554655529843,0.748499694212572,0.0100232585376854
"CASP3",-0.280192270479965,0.516262765185665,0.0654457738684826,0.907220887056525,-0.310477664110648,0.158425094284081
"CASP8",-0.114670406717472,0.668955503203626,-0.0750691389162146,0.875929494381779,0.04869346825331,0.75963393930556
"CCBP2",0.0396787536820336,0.90337607913264,NA,NA,NA,NA
"CCL1",NA,NA,-0.549216962589041,0.488274610231245,-0.264953425289419,0.353404473591507
"CCL13",NA,NA,NA,NA,0.247066137476508,0.241476726575182
"CCL15",NA,NA,NA,NA,0.182310473530706,0.23226334349174
"CCL19",NA,NA,0.253522250298984,0.793136527017272,-0.0282166129101471,0.873326943032682
"CCL2",NA,NA,0.440196403241554,0.69867136485216,-1.57708022590014,0.000178991099336269
"CCL20",NA,NA,NA,NA,0.236258995267918,0.447885260801852
"CCL21",NA,NA,NA,NA,0.176900627663017,0.229155392907564
"CCL22",NA,NA,NA,NA,0.338112310148164,0.030764439653648
"CCL23",NA,NA,NA,NA,0.105558041551097,0.512089051672262
"CCL3",0.261027703184699,0.496854515868917,-0.459459628419468,0.643225487345044,-1.30031104072149,0.00194096567881916
"CCL4",-0.0391832360593689,0.837283750517219,NA,NA,0.234783033343302,0.372975827717961
