"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation"
"CSF2RB",8.93165818273217,1.48190277807596,0.0651433193921318,0.00609019346570848,"Baseline",FALSE,"Neither"
"NOTCH2",9.61254295011629,-0.473397721486938,0.0651433193921318,0.00608829813235766,"Baseline",FALSE,"Neither"
"PDCD1",6.94438016647303,1.2363715719761,0.0659492950554353,0.00642713012723741,"Baseline",FALSE,"Neither"
"LCP2",10.9462516498065,0.5095574178159,0.0659492950554353,0.00665600218282367,"Baseline",FALSE,"Neither"
"KLRC2",8.22726334506481,-0.932699894522286,0.0659492950554353,0.00669591489069868,"Baseline",FALSE,"Neither"
"PAX5",5.8997665856255,0.62180626041483,0.0659492950554353,0.00639651892753489,"Baseline",FALSE,"Neither"
"MX2",8.64337821657458,-0.499347155463997,0.0659492950554353,0.0067778796656551,"Baseline",FALSE,"Neither"
"NFATC1",7.95995502329842,0.522320851377758,0.0659492950554353,0.00682613738470282,"Baseline",FALSE,"Neither"
"JAK3",8.43115355119654,1.02547157747178,0.0662739450715998,0.00697038153507644,"Baseline",FALSE,"Neither"
"TCF4",7.20869430430467,-0.731380094853626,0.0675866398647283,0.00733410950118087,"Baseline",FALSE,"Neither"
"HLA-DMA",9.15265238528727,-0.487719418136045,0.0675866398647283,0.0072759964822144,"Baseline",FALSE,"Neither"
"CD44",10.7231431011318,-0.432932314404725,0.0676909419492926,0.00745843433831938,"Baseline",FALSE,"Neither"
"HLA-C",8.08165957756534,1.11631064471635,0.0703543362930968,0.00786934980239981,"Baseline",FALSE,"Neither"
"ZAP70",7.99196040629005,1.05805266633896,0.0728246672923571,0.00838881810212461,"Baseline",FALSE,"Neither"
"CASP2",7.75663504895209,-0.562667309246495,0.0757361066098192,0.0088506301547368,"Baseline",FALSE,"Neither"
"ABCB1",5.72159734840922,-0.612615469493491,0.072719563047953,0.00825530932764742,"Baseline",FALSE,"Neither"
"CD8A",8.73610831103474,1.13109407652914,0.0766619625522057,0.00908681025243173,"Baseline",FALSE,"Neither"
"OAS1",7.41807242310774,-1.40857571658744,0.0792555800944905,0.00952654718998884,"Baseline",FALSE,"Neither"
"IFI16",10.9585881927471,-0.623898711252993,0.0816684635818067,0.0100355913894506,"Baseline",FALSE,"Neither"
"CCR4",8.0564074390908,-0.71292796585579,0.0816684635818067,0.0100892592738793,"Baseline",FALSE,"Neither"
"IL9",6.04023207095847,1.30554305235135,0.0832066856354869,0.0104181993700526,"Baseline",FALSE,"Neither"
"TRAF2",6.90137922930358,0.85473521221169,0.0892283025797051,0.0113211201937522,"Baseline",FALSE,"Neither"
"GZMM",6.91553794909162,1.12371611838443,0.0893470990604486,0.0114853533015936,"Baseline",FALSE,"Neither"
"GZMK",11.0849722744206,0.804506374093263,0.100854264587198,0.013510918808767,"Baseline",FALSE,"Neither"
"TNFRSF14",7.57213230667144,0.677590955812597,0.100854264587198,0.0135934404165945,"Baseline",FALSE,"Neither"
"TNFRSF1B",8.8798731240607,0.628470206268547,0.100854264587198,0.0134559872583064,"Baseline",FALSE,"Neither"
"SMAD2",8.90613186774615,-0.403187803544016,0.100854264587198,0.013645406575034,"Baseline",FALSE,"Neither"
"ITGB1",10.0958660504214,-0.535129935324184,0.100854264587198,0.0138064268717032,"Baseline",FALSE,"Neither"
"IKZF2",8.03459885773676,-0.599331891121662,0.10380111178654,0.0143831256732602,"Baseline",FALSE,"Neither"
"PECAM1",8.56556884907137,-0.443497931303925,0.108408170478826,0.0153338078378203,"Baseline",FALSE,"Neither"
"LILRA1",7.11073045788188,-0.621354343934846,0.108408170478826,0.0162322714482388,"Baseline",FALSE,"Neither"
"RAF1",8.43940956572053,0.589851695035714,0.108408170478826,0.016083299076418,"Baseline",FALSE,"Neither"
"CD53",10.3540280865749,-0.587921859676531,0.108408170478826,0.0161879067647804,"Baseline",FALSE,"Neither"
"TRADD",6.66580416390561,0.650800304349892,0.108408170478826,0.0163299850757459,"Baseline",FALSE,"Neither"
"IRAK1",7.74455691569479,0.532267280961412,0.108408170478826,0.0163798108559285,"Baseline",FALSE,"Neither"
"PTGER3",6.88668052787892,0.747315406401137,0.108408170478826,0.0164693547805896,"Baseline",FALSE,"Neither"
"IL4R",6.13359298759508,0.766592596280087,0.108408170478826,0.0163745525071878,"Baseline",FALSE,"Neither"
"GATA3",6.53783972560545,0.937248922615351,0.112878773630166,0.0173369735792575,"Baseline",FALSE,"Neither"
"GBP1",9.26494702248565,-1.01405927296329,0.116536054238099,0.0180932438132608,"Baseline",FALSE,"Neither"
"ATM",8.8810246773125,-0.464894996966381,0.11949356552777,0.01875191178566,"Baseline",FALSE,"Neither"
"TRAF6",6.99093770462138,-0.477153158300616,0.120490218579094,0.0193530404424682,"Baseline",FALSE,"Neither"
"C1QBP",8.67007781461091,-0.435946111140034,0.120490218579094,0.019428241017745,"Baseline",FALSE,"Neither"
"NUP107",7.05763246402939,-0.365626337055936,0.121337005566326,0.0198964679290479,"Baseline",FALSE,"Neither"
"XCL1",6.75075857485339,-0.727040315424294,0.120490218579094,0.0195117716229919,"Baseline",FALSE,"Neither"
"LILRA5",7.9394608946012,1.18788760860805,0.121337005566326,0.0200540293006115,"Baseline",FALSE,"Neither"
"CSF3R",10.5345274851187,1.20755246203512,0.122330261464327,0.0206620758102004,"Baseline",FALSE,"Neither"
"CD274",8.92424294775008,-0.773240174183007,0.122330261464327,0.0204500946084537,"Baseline",FALSE,"Neither"
"TAPBP",9.91162395311937,0.682087772351764,0.122876331024894,0.0211289851344977,"Baseline",FALSE,"Neither"
"NR3C1",9.07166798330704,-0.425018381191759,0.128340375660543,0.0222828031196936,"Baseline",FALSE,"Neither"
"CASP1",9.66101005293579,-0.408544510371801,0.131156037405992,0.0229906242531372,"Baseline",FALSE,"Neither"
"IFIH1",8.29194734174083,-0.408843490566507,0.13223212652966,0.0234000090352987,"Baseline",FALSE,"Neither"
"IL23A",5.57785403595054,-0.420428399086488,0.122330261464327,0.0208308625531909,"Baseline",FALSE,"Neither"
"CR1",6.2312704892913,-0.777469840145606,0.133828152359892,0.0239058636101978,"Baseline",FALSE,"Neither"
"PSMD7",8.49436253094906,-0.441452935103204,0.138293012324877,0.0251949255155003,"Baseline",FALSE,"Neither"
"CD40",6.17637123784591,-0.577985141186914,0.137120440463481,0.0247228840902436,"Baseline",FALSE,"Neither"
"BCL6",9.43213246542569,1.05447520921216,0.138293012324877,0.0258592690025988,"Baseline",FALSE,"Neither"
"PSMB10",8.81333993209052,0.620053976995219,0.138293012324877,0.0262309237050058,"Baseline",FALSE,"Neither"
"IRF7",7.76260583067997,0.985073502959204,0.138293012324877,0.0266156937430255,"Baseline",FALSE,"Neither"
"ITGAX",8.11486936614405,0.656808171948374,0.138293012324877,0.0265831734357659,"Baseline",FALSE,"Neither"
"SYK",8.44735919492761,-0.60446366058123,0.138293012324877,0.0271715422390262,"Baseline",FALSE,"Neither"
"FLT3LG",9.54384964322064,0.667464452110258,0.138293012324877,0.0271038522753252,"Baseline",FALSE,"Neither"
"HLA-DPB1",10.656103007303,0.611367681155633,0.138293012324877,0.0279141511572126,"Baseline",FALSE,"Neither"
"BCL2L11",8.04191463205355,-0.371520956128331,0.138293012324877,0.0278618912631904,"Baseline",FALSE,"Neither"
"CD14",8.59508768570053,0.882461897133245,0.138293012324877,0.0279356502359101,"Baseline",FALSE,"Neither"
"LILRB3",7.49511991448493,1.16296301242007,0.14121505552777,0.0287616640640866,"Baseline",FALSE,"Neither"
"CD163",6.34717629354159,-0.733279284997309,0.138293012324877,0.0275684129091633,"Baseline",FALSE,"Neither"
