"gene","Early.lfc","Early.padj","Late.lfc","Late.padj","Middle.lfc","Middle.padj"
"ABCB1",-0.66019104902384,0.0510423408580047,-0.764398386087401,0.0108636989477647,-0.717597577071339,0.0347803645685056
"ABCF1",0.179962577267269,0.594217164910029,-0.213974982163371,0.401116856286018,-0.29062201952244,0.277986028089879
"ABL1",-0.197977987001358,0.36891666773449,-0.12960051692531,0.498199741660834,-0.3016842212982,0.130572060142141
"ADA",-0.507723427604174,0.127596154265341,0.371765692504416,0.196486853518357,-0.602374063437205,0.0568496148325432
"AGER",-0.415094310390148,0.235758717340231,-0.378493513108283,0.195315221185474,-0.742753216167732,0.0172739117224768
"AHR",-0.874196210358649,0.0396680138861786,-0.541860155135909,0.149490537055821,-0.99832293270122,0.0147819444946023
"AICDA",-0.109653345102025,0.807255044534308,0.35957866863035,0.327288228552819,-0.266804194490599,0.497239773713853
"AKT3",0.150940861010133,0.740465478013687,-1.5776599946291,5.12685939209605e-06,-0.599896849671511,0.0779597290114728
"ALAS1",-0.174718058654668,0.494904169744961,0.605070869669428,0.00187666541650245,-0.112515766705942,0.622903878273965
"ALOX12",0.251500005418083,0.607662041828968,-0.747315467214978,0.0194715113570424,-0.735393768710492,0.0418243713690474
"ALOX15",-0.4335535204038,0.369683425059653,-1.52854574090212,0.000214193481885571,-1.32276410157479,0.002366979344817
"ALOX5",-0.588620628970839,0.138856592477177,0.164427855503404,0.66722996078235,-0.661893056477809,0.079754964214716
"ANP32B",-0.525081675186398,0.0478339899695397,0.524653564231132,0.0248203071160986,-0.430255855555298,0.0937077177694997
"APOE",0.142772786332324,0.785793152006846,0.27112836896773,0.498199741660834,-0.366397643897304,0.37458462314343
"APP",0.0153966519998363,0.943781851665905,0.302746106878645,0.0622622838548967,0.180524941766921,0.317580073630574
"AREG",-0.153581549960544,0.806139024879251,1.41807844981334,0.00634357797812954,0.275852904517818,0.65139623513916
"ARG1",-0.153581549960544,0.805534302030722,1.18625443390509,0.020149037524004,0.483497130646913,0.418054194061046
"ARG2",0.287492980946604,0.515791376637917,0.457964224791466,0.177979100087777,0.789451610410977,0.0298932037617609
"ARHGDIB",-0.456954820052456,0.0751633248614944,0.181811748943755,0.450402474792155,-0.42716811666951,0.0837190728017063
"ATF2",-0.113036791896707,0.625853707978663,-0.349405086490739,0.031869219968227,-0.490882210753343,0.00640047270690447
"ATG10",-0.168870355625251,0.698618252804702,-0.893837642631965,0.00465149947418088,-0.34053435947492,0.318293822543219
"ATG12",0.091974729029447,0.723661329273465,0.0909907001787875,0.651259357380911,-0.242264802202975,0.226938279000147
"ATG16L1",-0.445370090033939,0.172406698580988,0.394195691230656,0.192856190410738,0.254723140124595,0.467616227014949
"ATG5",0.222870269971487,0.422168879297911,-0.121036773897849,0.610900029996975,-0.333124158679983,0.159921018875486
"ATG7",0.558107330005383,0.0587712721709893,-0.409950409196465,0.12618033742096,0.507673208789603,0.0733482958931266
"ATM",-0.58442461573433,0.0910458359428146,-1.1658886868621,0.00028126904400699,-1.16084801384133,0.000709639617532086
"B2M",0.665565344026906,0.00176041336262666,0.215630425595464,0.277742980481421,0.903814235914346,8.12254209262934e-05
"B3GAT1",-0.153581549960544,0.297408201000592,-0.160296716954399,0.191548912021403,-0.58141826051902,3.87750975007509e-05
"BAD",-0.258611290439884,0.254617080933917,0.302462967234404,0.134714026652245,-0.711652159362101,0.000571947646571524
"BATF",0.665819530132771,0.00220954248852843,1.59855315329489,1.37337107178852e-09,1.43312086238502,3.64065913595946e-08
"BATF3",0.92965208954913,0.000125426284180276,0.374961033508859,0.0743735448457295,0.684811387738648,0.00725938357415895
"BAX",-0.0519007277049592,0.875163312049262,0.4524385294261,0.0447490896386045,-0.272305448871494,0.278281581018293
"BCAP31",-0.00460679723956225,0.978121763699457,-0.092370239840939,0.66443329576949,-0.413058197682611,0.0476245006568894
"BCL10",0.581901369787481,0.388446829729715,-0.0617756091770012,0.924800039180916,0.0729936045492732,0.920732373989549
"BCL2",-0.176534282107118,0.672733552189015,-1.14008468626892,0.000247804140910677,-0.433499030247983,0.171349584852559
"BCL2L1",-0.556841149151056,0.201670518494849,-2.61420950827225,8.73849302628173e-09,-2.18492279941789,1.14479525308555e-06
"BCL2L11",-0.238711036588032,0.470890549992961,-0.0955446125467923,0.740490439909911,-0.717741476558051,0.00973318995099513
"BCL3",0.186934502436044,0.697555506156237,1.22328498700007,0.000447890761683997,1.44952240601804,0.000158659830785455
"BCL6",0.274651869312937,0.629448465179609,-0.0259978642740002,0.96058920563374,1.59889121556687,0.000463767776949591
"BID",0.414231967243172,0.0776071161023624,0.590440175038678,0.00461406911769799,0.255065177693293,0.262088730774218
"BIRC2",0.122460280395858,0.631183837836571,-0.125042472584875,0.522125101042108,0.165299018838041,0.424371994912131
"BLK",-0.643322916149192,0.0194559918151667,-0.891171042330916,0.000455824114789131,-1.15015226940842,4.97860565975993e-05
"BLNK",0.357213679486232,0.416387131250539,-0.565893693157162,0.0885409792290306,0.233142894918884,0.559319101593743
"BST2",2.03184026141451,4.65225395587445e-12,1.441473715878,2.04507013115648e-08,2.29756405580437,4.33026757533269e-12
"BTK",0.175091316087228,0.618886151266984,-0.141946854836204,0.60009100276395,0.374341514386582,0.15778932469283
"BTLA",-0.0319578320638456,0.955081795474887,0.417514462889994,0.430211351800368,-0.047117462189215,0.950771045870209
"C10orf54",0.489981623324235,0.0771415332849549,0.301008346815728,0.225310079904208,0.759385986309496,0.005207266467959
"C14orf166",0.0215495379447237,0.935888936852992,0.25931853095314,0.182800916282982,-0.490032341521022,0.0190014699355767
"C1QA",1.00885722537104,0.11982616973531,0.866638344068795,0.127388992177509,1.60851901856175,0.00828151220261128
"C1QB",1.14563630763754,0.0570290858093479,1.41064399070909,0.00812233691347197,2.56191653531913,3.34995263685462e-05
"C1QBP",-0.318014059877866,0.327313266646996,1.07481551979735,9.79644965961427e-05,-0.337756382398494,0.235646782372095
"C2",1.39263946197677,5.0072999150998e-06,1.73196797865282,8.29422212537087e-08,2.09730150864141,9.78915885909902e-09
"C3",-0.153581549960544,0.631183837836571,0.348614213543891,0.163150308345756,-0.346468451151682,0.17510915942659
"C3AR1",0.387149206904382,0.203534808634465,0.810079492612028,0.00143713584378576,0.774373843257537,0.00427951293316621
"C4A",0.847799443648274,0.00168569747108701,1.52909874571672,1.50321991042831e-07,2.34428451827737,9.86911317468824e-11
"C4B",0.991860844153607,0.000937906234869667,2.53802707557774,4.68458282000343e-11,3.28491809401305,6.87578547668059e-13
"C4BPA",0.403447957474343,0.810989540694868,-0.0441540380471102,0.981532170953553,0.0759178309816466,0.969280058466572
"C5",-0.0571510198638219,0.918277684686693,-2.49974655948409,5.33321861090905e-08,-1.21082538370738,0.00317701492857415
"C5aR1",0.271288153617824,0.565171598495881,1.51681198026849,4.35159067897754e-05,1.29040018126976,0.000773454801468574
"C6",-0.153581549960544,0.565217312703311,-0.004603090939864,0.989257852514773,-0.339799490564302,0.127085786523638
"C7",-0.153581549960544,0.723661329273465,0.339737185439112,0.315828574306659,-0.292197050211412,0.41885622252962
"C8B",-0.153581549960544,0.697555506156237,0.215909075945184,0.497354797990041,-0.211857112646694,0.536542349345973
"C9",0.128824897874077,0.806139024879251,0.253680228867097,0.547768509173552,-0.226113783848479,0.628304373860606
"CAMP",-0.398658048396179,0.504159663768442,1.27761586629936,0.0043813596406364,1.89874592638012,0.000200456993782926
"CARD9",0.576191581734652,0.0967402946353202,-0.153752893743093,0.649292352044912,0.214807669606187,0.542461833945765
"CASP1",1.98752926883832,5.44438800645236e-11,1.04969972042925,1.3203741769882e-05,2.01173174020275,6.96111876603798e-10
"CASP10",0.375357670473155,0.0604468359574316,-0.214298888062364,0.236812133767629,0.388155922760472,0.0442081664979087
"CASP2",-0.286368682792416,0.368950557175357,-0.508056535654869,0.044538300431692,-0.616861799405172,0.0253643559849787
"CASP3",-0.121973784003311,0.754512175697045,0.23234811690015,0.424366024400798,0.254417480216043,0.423263195994449
"CASP8",-0.180413096233249,0.352793147398911,-0.468632908970996,0.00305426542984967,-0.26613499354163,0.118586881457432
"CCBP2",-0.215608565697188,0.352753107076375,-0.466631332612239,0.0103746493118942,-0.772501451269501,0.000200456993782926
"CCL1",-0.0263196639791428,0.950519057260669,0.422324132460116,0.227132386328824,0.0218593539166827,0.969280058466572
"CCL13",-0.162932941594508,0.386871093330184,-0.0504745158679256,0.779147816938474,-0.640964900574629,0.000165450458057834
"CCL15",-0.153581549960544,0.352753107076375,-0.036390617423578,0.81918179633899,-0.58141826051902,0.000137813417908047
"CCL19",-0.153581549960544,0.516193590359823,0.172687589620093,0.381796006876562,-0.198380811785531,0.352320807178522
"CCL2",-0.00874902466483007,0.978121763699457,1.67743942175199,9.58848570834134e-05,0.730942129474034,0.112160061518022
"CCL20",0.0513448373315875,0.895230570208248,0.132985917605922,0.681781301426357,-0.367785620785256,0.244639351069678
"CCL21",-0.153581549960544,0.352753107076375,-0.0327316830249202,0.837174727629235,-0.58141826051902,0.000128893892717646
"CCL22",-0.153581549960544,0.343248087991379,-0.10372157729241,0.454720931188446,-0.58141826051902,0.000101558803356786
"CCL23",-0.153581549960544,0.385553941652261,0.0385060069185537,0.81918179633899,-0.58141826051902,0.000267628160827873
"CCL3",-0.199101629902331,0.626803261938735,1.64646811037026,6.70609318255402e-06,0.448420009578051,0.234248523062746
"CCL4",-0.275572248817831,0.221296916120043,0.0552344768627648,0.811916454099847,-0.479707956372248,0.01994478658274
