"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation"
"BATF3",5.72191258667057,0.929652089549124,0.000125426284180279,9.53166365771256e-06,"Early",FALSE,"None"
"CCR1",8.13494252331855,1.4628194386274,0.000158973522784992,1.2416342086415e-05,"Early",TRUE,"Up"
"RARRES3",10.0799838067264,0.774866243009209,0.000195306884047391,1.55264886899599e-05,"Early",FALSE,"None"
"SELL",13.7937848637743,1.10645036645039,0.000208938204318569,1.69015562768159e-05,"Early",TRUE,"Up"
"PSMB9",10.8177638889885,0.849019874457641,0.000474710315698778,3.90626340672635e-05,"Early",FALSE,"None"
"RIPK2",7.28518311662638,0.993286741410189,0.000577259846243496,4.83062632839746e-05,"Early",FALSE,"None"
"TNFRSF1B",9.13190017574617,0.851623300954145,0.000782570476279648,6.65785202971527e-05,"Early",FALSE,"None"
"C4B",6.83918210728934,0.991860844153608,0.000937906234869694,8.11020733081186e-05,"Early",FALSE,"None"
"GPR183",8.08936339003446,-0.710583371775058,0.00124218220486837,0.000109145716745757,"Early",FALSE,"None"
"KLRC3",7.03424849052084,-1.11233986462005,0.00139237387088571,0.000124284418042797,"Early",TRUE,"Down"
"LTBR",6.23717134097626,0.857685553894512,0.00153670410167375,0.000139310692620354,"Early",FALSE,"None"
"C4A",7.26013132650791,0.847799443648276,0.00168569747108696,0.000157519847367958,"Early",FALSE,"None"
"MAPK1",9.8082235308694,-0.530338268715733,0.00162723263897661,0.000149787104843035,"Early",FALSE,"None"
"IRF5",7.94993759718896,1.11370786829801,0.00173050269631067,0.000166533732280943,"Early",TRUE,"Up"
"DDIT3",7.5843492614494,1.10529320702076,0.00176041336262667,0.000176777910891381,"Early",TRUE,"Up"
"B2M",16.4016521648206,0.665565344026895,0.00176041336262667,0.000176363822179339,"Early",FALSE,"None"
"TAGAP",10.5355784548802,1.05871743541887,0.00173050269631067,0.000165872700978388,"Early",TRUE,"Up"
"LY96",9.01132046066814,1.22119186320559,0.00176041336262667,0.0001747314423741,"Early",TRUE,"Up"
"STAT3",9.88056163630738,0.831468999741787,0.00189487745828438,0.00019292336744039,"Early",FALSE,"None"
"BATF",7.61396999863241,0.665819530132769,0.00220954248852853,0.000231123691268675,"Early",FALSE,"None"
"CISH",7.12050661203957,1.2060915915794,0.00207267605885073,0.00021391635753829,"Early",TRUE,"Up"
"CD80",6.66720276180887,1.13519689025606,0.00232306732165673,0.000246238656130979,"Early",TRUE,"Up"
"HSPB1",6.55058847343884,1.51385501596566,0.00259860525885379,0.000279069184005219,"Early",TRUE,"Up"
"IDO2",8.07556249685114,1.67928714112967,0.00297701260901096,0.000323859112277343,"Early",TRUE,"Up"
"TBK1",8.43534953883625,0.827738078352153,0.00318015278730365,0.00035039340334308,"Early",FALSE,"None"
"PDCD1LG2",6.29840601613187,0.758739439466739,0.00366194980066184,0.00040858575181722,"Early",FALSE,"None"
"HLA-DQA1",7.79310659012636,-0.947087216643633,0.00383813652008663,0.000433597012729452,"Early",FALSE,"None"
"PYCARD",9.48571793799283,0.556820769691466,0.00393730020159937,0.000455782310645394,"Early",FALSE,"None"
"IL16",9.24653187731422,-0.655449236356402,0.00393730020159937,0.000452166736557674,"Early",FALSE,"None"
"LCP2",10.9044520821823,0.681307988757075,0.00451944639386133,0.000529474891331034,"Early",FALSE,"None"
"CD27",7.43757279670439,-1.00395214435438,0.00509527091879563,0.00060404188019195,"Early",TRUE,"Down"
"LTB",8.45145530615986,-0.647074365704702,0.0051019530716319,0.000611949740809405,"Early",FALSE,"None"
"PTPN22",7.83239319815697,-0.838866553212329,0.00549559970068368,0.000666830089204296,"Early",FALSE,"None"
"IL18RAP",8.20242691240918,1.14715956081247,0.0061729929583971,0.000766243198462123,"Early",TRUE,"Up"
"ITGAM",9.53803557708379,0.901183828079477,0.00590386047739289,0.00072460212274836,"Early",FALSE,"None"
"MYD88",8.64889614554859,0.718786302462457,0.00672915422301426,0.00084466371000179,"Early",FALSE,"None"
"TLR2",9.98267875560621,1.16743939151844,0.00832312322357204,0.00105635176198753,"Early",TRUE,"Up"
"TAP2",9.25160409251837,1.20878546722102,0.00889525556254232,0.00115377791815402,"Early",TRUE,"Up"
"CCL8",5.53505969174223,1.06745661523136,0.0085522496280556,0.0010973597849109,"Early",TRUE,"Up"
"LEF1",7.81152862300076,-0.82268555128655,0.0122557501350573,0.00160675106373136,"Early",FALSE,"None"
"PLA2G4A",6.35387706476708,0.578762652270945,0.013567097095789,0.00179759306011152,"Early",FALSE,"None"
"LGALS3",10.6053722268714,-0.610770106483132,0.0135784007410815,0.00181802855110714,"Early",FALSE,"None"
"CTNNB1",8.19046883904589,-0.530926778775937,0.0159347005055799,0.00215574051470189,"Early",FALSE,"None"
